District,Route Name,Beneficiary Villages,School Name,Bus Number
"Mahisagar","સંજેલી-સંતરામપુર","ગોઠીબ","આદિવાસી.માં.શાળા ","GJ18ZT2654"
"Mahisagar","સંજેલી-સંતરામપુર","હિરાપુર","ઉનાતી હિરાપુર","GJ18ZT2654"
"Mahisagar","પાણીયાર-સંતરામપુર","હિરાપુર","ઉનાતી હિરાપુર","GJ18ZT2676"
"Mahisagar","સંજેલી-સંતરામપુર","કણજરા","સોમનાથ ટીમલા","GJ18ZT2654"
"Mahisagar","પાણીયાર-સંતરામપુર","ભુગેડી","આદિવાસી.માં.શાળા ","GJ18ZT2676"
"Mahisagar","નાનીભુગેડી-સંતરામપુર","ગોઠીબ","આદિવાસી.માં.શાળા ","GJ18ZT2664"
"Mahisagar","સંજેલી-સંતરામપુર","સરસણ","યુ.આર.પટેલ","GJ18ZT2654"
"Mahisagar","GADA","પાણીયાર,ગડા,લીલવાસર,ઉમરદેવી,
ખેડાપા ","PM SHRI MODEL SCHOOL,
SANTRAMPUR
","N/A"
"Mahisagar","UMARDEVI","પાણીયાર,ગડા,લીલવાસર,ઉમરદેવી,
ખેડાપા ","PM SHRI MODEL SCHOOL,
SANTRAMPUR
","N/A"
"Mahisagar","LILVASAR","પાણીયાર,ગડા,લીલવાસર,ઉમરદેવી,
ખેડાપા ","PM SHRI MODEL SCHOOL,
SANTRAMPUR
","N/A"
"Mahisagar","પાણીયાર-સંતરામપુર","PANIYAR","MODEL SCHOOL SANTRAMPUR","N/A"
"Mahisagar","KHEDAPA","પાણીયાર,ગડા,લીલવાસર,ઉમરદેવી,
ખેડાપા ","PM SHRI MODEL SCHOOL,
SANTRAMPUR
","N/A"
"Mahisagar","સંજેલી-સંતરામપુર","પીથાપુર","આદિવાસી.માં.શાળા બોરવાળાપેથાપુર","GJ18ZT2654"
"Mahisagar","પાણીયાર-સંતરામપુર","તલાદરા","આદિવાસી.માં.શાળા બોરવાળાપેથાપુર","GJ18ZT2676"
"Mahisagar","પાણીયાર-સંતરામપુર","ટીમલા","સોમનાથ ટીમલા","GJ18ZT2676"
"Mahisagar","સંજેલી-સંતરામપુર","ઉખરેલી","એસ.આર.વિદ્યાલય","GJ18ZT2654"
"Mahisagar","ખેડાપા-સંતરામપુર","ઉખરેલી","માં.શાળા ખેડાપા ","GJ18ZT2655"
"Mahisagar","પાણીયાર-સંતરામપુર","ઉખરેલી","એસ.આર.વિદ્યાલય","GJ18ZT2676"
"Mahisagar","ખેડાપા-સંતરામપુર","ઉબેર","આદિવાસી.માં.શાળા ઉબેર","GJ18ZT2655"
"Mahisagar","સંજેલી-સંતરામપુર","વેણા","જેડ.બીપાદરીયા","GJ18ZT2654"
"Mahisagar","પાણીયાર-સંતરામપુર","વેણા","જેડ.બીપાદરીયા","GJ18ZT2676"
"Narmada","આમલેથા ","નવા ઘાંટા ,જુનાઘાંટા , મહુડીપાડા , છટવાડા ","શ્રી નૂતન જ્યોતિ વિદ્યાલય, આમલેથા. ","N/A"
"Narmada","DEDIAPADA TO PIPLOD","સાંકડી , પિપલોદ , કોકમ","સ.ઉ.મા.શાળા જુનામોસદા","N/A"
"Narmada","DEDIAPADA TO GICHAD","મોટીસિંગલોટી , નામગીર , ગિચડ","સ.ઉ.મા.શાળા જુનામોસદા","N/A"
"Narmada","DEDIAPADA TO SAGAI ","પાટવલી , માથાવલી , કાંદા , ડાબકા , સગાઇ","સ.ઉ.મા.શાળા જુનામોસદા","N/A"
"Narmada","DEDIAPADA TO JUNAMOSDA ","ખટામ , નાનીસિંગલોટી , મોટીસિંગલોટી","સ.ઉ.મા.શાળા જુનામોસદા","N/A"
"Narmada","N/A","ગાજરગોટા","શ્રી એ.એન.બારોટ વિદ્યાલય ડેડીયાપાડા, જી-નર્મદા","N/A"
"Narmada","ડેડીયાપાડા થી સેજપુર","N/A","શ્રી એ.એન.બારોટ વિદ્યાલય ડેડીયાપાડા, જી-નર્મદા","N/A"
"Narmada","ડેડીયાપાડા થી સોલિયા","ટીંબાપાડા","શ્રી એ.એન.બારોટ વિદ્યાલય ડેડીયાપાડા, જી-નર્મદા","N/A"
"Narmada","ડેડીયાપાડાથી બોગજ","નવાગામ","શ્રી એ.એન.બારોટ વિદ્યાલય ડેડીયાપાડા, જી-નર્મદા","N/A"
"Narmada","ડેડીયાપાડ થી ચિક્દા","N/A","શ્રી એ.એન.બારોટ વિદ્યાલય ડેડીયાપાડા, જી-નર્મદા","N/A"
"Narmada","ડેડીયાપાડા થી માલ સામોટ","બેસના","શ્રી એ.એન.બારોટ વિદ્યાલય ડેડીયાપાડા, જી-નર્મદા","N/A"
"Narmada","ડેડીયાપાડા થીસેલંબા મેડિયાસાગ","N/A","શ્રી એ.એન.બારોટ વિદ્યાલય ડેડીયાપાડા, જી-નર્મદા","N/A"
"Narmada","ડેડીયાપાડા થી ખૈડીપાડા","N/A","શ્રી એ.એન.બારોટ વિદ્યાલય ડેડીયાપાડા, જી-નર્મદા","N/A"
"Narmada","N/A","N/A","મોડેલ સ્કૂલ દેડિયાપાડા","N/A"
"Narmada","સેલંબા ","સોરાપાડા ","શ્રી સેલંબા હાઇસ્કૂલ સેલંબા તા.સાગબારા જિ.નર્મદા ","N/A"
"Narmada","તિલકવાડા ","વંઢ","સરકારી ઉચ્ચતર શાળા તિલકવાડા ","N/A"
"Navsari","વાંસદાથી નિરપણ ","ચોરવણી","જ્ઞાનસરિતા માધ્યમિક શાળા, વાંગણ","GJ-18-ZT-3331"
"Navsari","બિલીમોરા-આંબાબારી સ્કુલ","ક્પડવજ-ખાંભલા-આંબાપાણી-વાંગણ-ધાકમાળ-સિતાપુર-મનપુર","વન વિધ્યાલય આબાબારી ","GJ-18-ZT-3112"
"Navsari","માનકુનિયા - મનપુર ","ધકમાળ ","પ્રજ્ઞાસૌરભ માધ્યમિક શાળા મનપુર ","GJ-18-ZT-3154 "
"Navsari","વાંસદા-કાળાઆંબા ","કેવડી (વાયા)","શેઠશ્રી સી.પી.દેસાઈ હાઇસ્કુલ,સરા","GJ-18-ZT-3098"
"Panchamahal","ગોધરા-સંતરામપુર","મોરવા (હ)","કૃષિકાર સે. હાઈ. મોરાવા(હ)","GJ-18-ZT-2655"
"Panchamahal","ગોધરા-ગૂંદી ","ગોદલી","સાર્વ. હાઈ. ગોદલી,","N/A"
"Panchamahal","ગોધરા-ગૂંદી ","ગૂંદી ","નુતન હાઈ., ગૂંદી ","GJ-18-ZT-2536"
"Panchamahal","હાલોલ-પાવાગઢ-માંચી","પાવાગઢ","મહાકાળી વિધા. પવાગઢ","GJ-18-ZT-2604"
"Panchamahal","હાલોલ-ગંભીરપુરા","નવકૂવા ","નુતન વિધા, નવકૂવા ","GJ-18-ZT-2615"
"Panchamahal","ગોધરા-સંતરામપુર","સંતરોડ","જે. આર. ભાટિયા, સંતરોડ","GJ-18-ZT-2655"
"Sabarkatha","ખેડબ્રહ્મા થી ભાંખરા","કડિયાદરા , ચોરીવાડ, પ્રતાપગઢ, વિરેશ્વર, કઠવાવડી , આંતરસુંબા , ભાંખરા","અંદ્રોખા હાઇસ્કુલ / અંદ્રોખા ઇન્સ્ટીટયુટ","GJ-18-ZT-3174"
"Surat","કરૂઠા - માંડવી","કાણાઘાટ ,આમલચુની,ગાંગપુર ,પીપલવાડા ,દઢવાડા ,સરકુઈ ,ભાતકુઈ  ,ભાતકુઈ ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી ","GJ -18-ZT-2553"
"Surat","લાડ્કુવા - માંડવી","રૂપણ,ફેદારેયા ,સઠવાવ,માલ્ધાફાટા,વીસદાલિયા ,કિમડુંગરા ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી ","GJ -18-ZT-3375"
"Surat","વાંકલ - માંડવી","વાંકલ ,બોરિયા,ઓગણીસા ,સણધરા,પરવટ,ખોડાબા ,ઉટેવા ,આંબાપારડી ,ગોડસંબા ,અમલસાડી ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી ","GJ -18-ZT-2553"
"Surat","પીપરીયા - માંડવી","પુના,ઉન ,કોસાડી ,ઉમરસાડી ,કમલાપોર ,ખંજરોલી ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી","GJ -18-ZT-2605"
"Surat","માંડવી - આંબાપુર","રખસખડી ,કાટકુવા ,લાખગામ,ખરેડા,ઉમરખડી ,ગામતળાવખુર્દ ,સઠવાવ ,ફેદારેયા,રૂપણ ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી ","GJ -18-ZT-3439"
"Surat","માંડવી - મોસાલી ચોકડી","પુના,અમલસાડી ,ગોડસબા ,રાજપુતબોરી ,કસાલ ,ઝાબ,પાતલ,રાણીકુવા ,મધરકુઈ ,તુકેદ,દેગડિયા,ઝઘડીયા,ડુંગરી ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી","GJ -18-ZT-2605"
"Surat","ભડકુવા - માંડવી","લવેટ ,નાદોલા ,વાંકલ ,વેલાવી ,પાતલદેવી ,સેલારપુર ,ઝંખવાવ ,દેવગઢ ,ઇસર,જુનવાણ ,માલ્ધા ,ફૂલવાડી,સઠવાવ ,ફેદારેયા ","ધી માંડવી હાઇસ્કુલ, માંડવી ","GJ -18-ZT-3276"
"Surat","માંડવી - શંભુનગર","માલ્ધા ગામ ,તારાપુર ,લીમ્ધા ,બુણધા,ખાત્રાદેવી ,ચીગદા ,ભરાડા,ચવડા,સુતખડકા ,સેવલાણ ,ચૂલી,કવનગાય ,ખોડાબા પાંચઆંબા ,ઉમરગોટ ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી","GJ -18-ZT-3327"
"Surat","આંબાપુર - માંડવી","રખસખડી ,કાટકુવા ,લાખગામ,ખરેડા,ઉમરખડી ,ગામતળાવખુર્દ ,સઠવાવ ,ફેદારેયા,રૂપણ ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી ","GJ -18-ZT-3439"
"Surat","માંડવી - વ્યારા","રતાનેયા ,નવાકાકરાપાર ,કણજા ,બેડકુવાદુર ,ઉંચામાલા ,વાસકુઈ ,ઇન્દુ ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી ","GJ -18-ZT-3439"
"Surat","માંડવી - ઘાસીયામેઢા","વરજાખણ ,તરસાડા ,જામણકુવા ,નાનીચેર ,મોટીચેર ,ઊંચામાળા ,બેડકુવા ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી ","GJ -18-ZT-3285"
"Surat","માંગરોલ - માંડવી","મોસાલી x ,બોરસદ ,દેગડિયા ,ઝઘડીયા,કદવાલી ,તુકેદ ,રાનીકુવા ,પાતલ ,ચુડેલ,ઝાબ ,કસાલ ,આબાપારડી ,ગોડસબા ,અમલસાડી ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી","GJ -18-ZT-2605"
"Surat","ભડકુવા-માંડવી ","લવેટ ,નાદોલા ,વાંકલ ,વેલાવી ,પાતલદેવી ,સેલારપુર ,ઝંખવાવ ,દેવગઢ ,ઇસર,જુનવાણ ,માલ્ધા ,ફૂલવાડી,સઠવાવ ,ફેદારેયા ","ધી માંડવી હાઇસ્કુલ, માંડવી ","GJ-18-ZT-3276"
"Surat","માંડવી - મોરીઠા","રૂપણ ,ફેદારેયા ,ઘંટોલી,મોરીઠા ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી ","GJ -18-ZT-2553"
"Surat","ઘાસીયામેઢા - માંડવી","બેડકુવાદુર ,ઉંચામાલા,મોટીચેર,નાનીચેર ,જુના રતનીયા,જામણકુવા ,તરસાડા,વરજાખણ ","ધી માંડવી હાઇસ્કુલ, માંડવી ","GJ -18-ZT-3285"
"Surat","નેત્રંગ - માંડવી","રૂપણ,ફેદારેયા ,સઠવાવ,ઈસર,જુનવાણ ,દેવગઢ,બલેઠી ,ઝંખવાવ ,વાડી,નસાર પુર ,મોઝા,કવચિયા ,નવી જામુની,જૂની જામુની ,કૈલીકુવા,ચાસવડ ","ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી","GJ -18-ZT-3439"
"Surat","માંડવી - કરૂઠા","કાણાઘાટ ,આમલચુની,ગાંગપુર ,પીપલવાડા ,દઢવાડા ,સરકુઈ ,બડતલ ,ભાતકુઈ ","Shree tapivan vidhyalay sarkui","GJ -18-ZT-2553"
"Surat","માંડવી - મોરીઠા","રૂપણ ,ફેદારેયા ,ઘંટોલી,મોરીઠા ","Shree tapivan vidhyalay sarkui","GJ -18-ZT-2553"
"Surat","સેલુરા ફાંટા - માંડવી","રૂપણ ,ફેદારેયા,બડતલ  ભાતકુઈ ,ભાતકુઈ ,સરકુઈ ,પીપલવાડા ,દઢવાડા,મંગતરા ,ખેરવાડા,ભટવાડા,જુનાઈ,નીદવાડા,લીબી ","Shree tapivan vidhyalay sarkui","GJ -18-ZT-2553"
"Surat","ઉમરપાડા - મોસાલી ચોકડી","સરદા ,ઉમરઝર ,ઉમરખાડી ,ચિતલદા ,કેવડી ,વાડી,ઝંખવાવ ,સેલારપુર ,માડણ ,પાતલદેવી ,વેલાવી ,વાંકલ,આંબાવાડી ","શ્રી એન.ડી.દેસાઈ સાર્વજનિક હાઈસ્કુલ ,વાંકલ  ","GJ -18-ZT-2712"
"Surat","ભડકુવા-માંડવી ","લવેટ ,નાદોલા ,વાંકલ ,વેલાવી ,પાતલદેવી ,સેલારપુર ,ઝંખવાવ ,દેવગઢ ,ઇસર,જુનવાણ ,માલ્ધા ,ફૂલવાડી,સઠવાવ ,ફેદારેયા ","શ્રી એન.ડી.દેસાઈ સાર્વ હાઇ,વાંકલ","GJ-18-ZT-3276"
"Surat","ઝંખવાવ - માંગરોલ","આંબાવાડી ,ધોલીકુઈ ,વાંકલ ,વેલાવી,પાતલદેવી ,સેલારપુર ,માડણ ","શ્રી એન.ડી.દેસાઈ સાર્વજનિક હાઈસ્કુલ ,વાંકલ","GJ -18-ZT-3023"
"Surat","ઉમરપાડા - વાંકલ","સરદા ,ઉમરઝર ,ઉમરખાડી ,ચિતલદા ,કેવડી ,વાડી,ઝંખવાવ ","શ્રી એન.ડી.દેસાઈ સાર્વ હાઇ,વાંકલ","GJ -18-ZT-2515"
"Surat","ઉમરપાડા - ચકરા","વેન્જાલી ,કદવાલી ,ઉમરગોટ,ચોખવાડા ,બિલવાણ,હલધરી ,વડપાડા ,ચિમિપાતાલ ","સરકારી માધ્યમિક અને ઉચ્ચતર માધ્યમિક શાળા ચોખવાડા","GJ -18-ZT-3375"
"Surat","કરૂઠા - માંડવી","કાણાઘાટ ,આમલચુની,ગાંગપુર ,પીપલવાડા ,દઢવાડા ,સરકુઈ ,ભાતકુઈ  ,ભાતકુઈ ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી ","GJ -18-ZT-2553"
"Surat","ભડકુવા - માંડવી","લવેટ ,નાદોલા ,વાંકલ ,વેલાવી ,પાતલદેવી ,સેલારપુર ,ઝંખવાવ ,દેવગઢ ,ઇસર,જુનવાણ ,માલ્ધા ,ફૂલવાડી,સઠવાવ ,ફેદારેયા ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી ","GJ -18-ZT-3276"
"Surat","વાંકલ - માંડવી","વાંકલ ,બોરિયા,ઓગણીસા ,સણધરા,પરવટ,ખોડાબા ,ઉટેવા ,આંબાપારડી ,ગોડસંબા ,અમલસાડી ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી ","GJ -18-ZT-2553"
"Surat","ઘાસીયામેઢા - માંડવી","બેડકુવાદુર ,ઉંચામાલા,મોટીચેર,નાનીચેર ,જુના રતનીયા,જામણકુવા ,તરસાડા,વરજાખણ ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી ","GJ -18-ZT-3285"
"Surat","માંડવી - વ્યારા","રતાનેયા ,નવાકાકરાપાર ,કણજા ,બેડકુવાદુર ,ઉંચામાલા ,વાસકુઈ ,ઇન્દુ ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી ","GJ -18-ZT-3439"
"Surat","માંડવી - શંભુનગર","માલ્ધા ગામ ,તારાપુર ,લીમ્ધા ,બુણધા,ખાત્રાદેવી ,ચીગદા ,ભરાડા,ચવડા,સુતખડકા ,સેવલાણ ,ચૂલી,કવનગાય ,ખોડાબા પાંચઆંબા ,ઉમરગોટ ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી  ","GJ -18-ZT-3327"
"Surat","માંગરોલ - માંડવી","મોસાલી x ,બોરસદ ,દેગડિયા ,ઝઘડીયા,કદવાલી ,તુકેદ ,રાનીકુવા ,પાતલ ,ચુડેલ,ઝાબ ,કસાલ ,આબાપારડી ,ગોડસબા ,અમલસાડી ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી ","GJ -18-ZT-2605"
"Surat","માંડવી - લાડ્કુવા","રૂપણ,ફેદારેયા ,સઠવાવ,માલ્ધાફાટા,વીસદાલિયા ,કિમડુંગરા ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી ","GJ -18-ZT-3375"
"Surat","માંડવી - આંબાપુર","રખસખડી ,કાટકુવા ,લાખગામ,ખરેડા,ઉમરખડી ,ગામતળાવખુર્દ ,સઠવાવ ,ફેદારેયા,રૂપણ ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી  ","GJ -18-ZT-3439"
"Surat","લાડ્કુવા - માંડવી","રૂપણ,ફેદારેયા ,સઠવાવ,માલ્ધાફાટા,વીસદાલિયા ,કિમડુંગરા ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી ","GJ -18-ZT-3375"
"Surat","પીપરીયા - માંડવી","પુના,ઉન ,કોસાડી ,ઉમરસાડી ,કમલાપોર ,ખંજરોલી ","શ્રી વી.એફ.ચૌધરી માધ્યમિક અને ઉચ્ચ્તર માધ્યમિક શાળા માંડવી ૩)ધી માંડવી હાઈસ્કુલ માંડવી  તા.માંડવી","GJ -18-ZT-2605"
"Surat","માંડવી - ઉમરપાડા","માલ્ધા ગામ ,તારાપુર ,લીમ્ધા ,બુણધા,ખાત્રાદેવી ","જ્ઞાનદીપ હાઈસ્કુલ, ગામતળાવખૂર્દ","GJ -18-ZT-3285"
"Surat","ભડકુવા - માંડવી","લવેટ ,નાદોલા ,વાંકલ ,વેલાવી ,પાતલદેવી ,સેલારપુર ,ઝંખવાવ ,દેવગઢ ,ઇસર,જુનવાણ ,માલ્ધા ","જ્ઞાનદીપ હાઈસ્કુલ, ગામતળાવખૂર્દ","GJ -18-ZT-3276"
"Surat","આંબાપુર - માંડવી","રખસખડી ,કાટકુવા ,લાખગામ,ખરેડા,ઉમરખડી ,ગામતળાવખુર્દ ,સઠવાવ ,ફેદારેયા,રૂપણ","જ્ઞાનદીપ હાઈસ્કુલ, ગામતળાવખૂર્દ","GJ -18-ZT-3439"
"Surat","માંડવી - ભડકુવા ","રૂપણ,ફેદારેયા ,સઠવાવ,ઈસર,જુનવાણ ,દેવગઢ,બલેઠી ,ઝંખવાવ ,પાતલદેવી ,માડણ ","જ્ઞાનદીપ હાઈસ્કુલ, ગામતળાવખૂર્દ","GJ-18-ZT-3276"
"Surat","માંડવી - કરૂઠા","કાણાઘાટ ,આમલચુની,ગાંગપુર ,પીપલવાડા ,દઢવાડા ,સરકુઈ ,બડતલ ,ભાતકુઈ ","જ્ઞાનદીપ હાઈસ્કુલ, ગામતળાવખૂર્દ","GJ -18-ZT-2553"
"Surat","માંડવી - આંબાપુર","રખસખડી ,કાટકુવા ,લાખગામ,ખરેડા,ઉમરખડી ,ગામતળાવખુર્દ ,સઠવાવ ,ફેદારેયા,રૂપણ ","જ્ઞાનદીપ હાઈસ્કુલ, ગામતળાવખૂર્દ","GJ -18-ZT-3439"
"Surat","લાડ્કુવા - માંડવી","રૂપણ,ફેદારેયા ,સઠવાવ,માલ્ધાફાટા,વીસદાલિયા ,કિમડુંગરા ","જ્ઞાનદીપ હાઈસ્કુલ, ગામતળાવખૂર્દ","GJ -18-ZT-3375"
"Surat","માંડવી - વ્યારા","વરજાખણ ,તરસાડા ,જામણકુવા ,નાનીચેર ,મોટીચેર ,ઊંચામાળા ,વાસકુઈ ,ઇન્દુ ","નાલંદા હાઈસ્કુલ મોટીચેર  ","GJ -18-ZT-3285"
"Surat","નેત્રંગ - માંડવી","રૂપણ,ફેદારેયા ,સઠવાવ,ઈસર,જુનવાણ ,દેવગઢ,બલેઠી ,ઝંખવાવ ,વાડી,નસાર પુર ,મોઝા,કવચિયા ,નવી જામુની,જૂની જામુની ,કૈલીકુવા,ચાસવડ ","શ્રી સુખાનંદ ઉત્તર બુનિયાદી વિદ્યાલય, બલેઠી ","GJ -18-ZT-3439"
"Surat","માંડવી - ભડકુવા ","રૂપણ,ફેદારેયા ,સઠવાવ,ઈસર,જુનવાણ ,દેવગઢ,બલેઠી ,ઝંખવાવ ,પાતલદેવી ,માડણ ","શ્રી સુખાનંદ ઉત્તર બુનિયાદી વિદ્યાલય, બલેઠી ","GJ-18-ZT-3276"
"Surat","માંડવી - નેત્રંગ","રૂપણ,ફેદારેયા ,સઠવાવ,ઈસર,જુનવાણ ,દેવગઢ,બલેઠી ,ઝંખવાવ ,વાડી,નસાર પુર ,મોઝા,કવચિયા ,નવી જામુની,જૂની જામુની ,કૈલીકુવા,ચાસવડ ","શ્રી સુખાનંદ ઉત્તર બુનિયાદી વિદ્યાલય, બલેઠી","GJ -18-ZT-3439"
"Surat","ભડકુવા - માંડવી","લવેટ ,નાદોલા ,વાંકલ ,વેલાવી ,પાતલદેવી ,સેલારપુર ,ઝંખવાવ ,દેવગઢ ,ઇસર,જુનવાણ ,માલ્ધા ,ફૂલવાડી,સઠવાવ ,ફેદારેયા ","શ્રી સુખાનંદ ઉત્તર બુનિયાદી વિદ્યાલય, બલેઠી ","GJ -18-ZT-3276"
"Surat","માંડવી - માંગરોલ","આબાપારડી ,ઉટેવા ,પરવટ ,ખોડાબા ,સણધરા ,ઓગણીસા ,બોરિયા ,વાંકલ ,આંબાવાડી ,મોસાલી x"," બાબા ઉત્તર બુનિયાદી વિદ્યાલય,આંબાપારડી ","GJ -18-ZT-2605"
"Surat","માંડવી - ઉમરપાડા","માલ્ધા ગામ ,તારાપુર ,લીમ્ધા ,બુણધા,ખાત્રાદેવી ","સરકારી માધ્યમિક શાળા જામકુઈ ","GJ -18-ZT-3285"
"Surat","કોસંબા - વાંકલ કોલેજ","વેલાછા ,કોસાડી ,સીમોદ્રા,કઠવાડા,કનાવાડા ,માંગરોલ,મોસાલીx ,ગડકાછ ,આંબાવાડી ,ધોલીકુઈ ,વાંકલ ,વેલાવી","સરકારી માધ્યમિક શાળા મોસાલી ","GJ -18-ZT-3023"
"Surat","ચકરા - માંડવી","ચિમિપાતાલ ,સુતખડાકા ,વડપાડા ,હલધરી,ચૌધરી ફળિયા ,ચોખાવાડા ,નવાગામ ,ઉમરગોટ ,કદવાલી ,વેનાજાલી ,ઉમરપાડા ,ખાત્રાદેવી ,જામકુઈ ,લીમ્ધા ,બુણધા ,તારાપુર,માલ્ધાગામ","સરકારી ઉચ્ચત્તર માધ્યમિક શાળા ઉમરપાડા(વિ.પ્ર.)","GJ -18-ZT-3375"
"Surat","ઉમરદા - માંડવી","ખોટા રામપુરા ,રાજનીવાડ ,વડપાડા ,હલધરી ,બીલવાણ,નવાગામ ,ઉમરપાડા ,ખાત્રાદેવી ,જામકુઈ ,લીમ્ધા ,બુણધા ,તારાપુર,માલ્ધાગામ","સરકાઈ માધ્યમિક અને ઉચ્ચતર માધ્યમિક શાળા ,ઉમરપાડા","GJ -18-ZT-2714"
"Surat","ચકરા - ઉમરપાડા","વેન્જાલી ,કદવાલી ,ઉમરગોટ,ચોખવાડા ,બિલવાણ,હલધરી ,વડપાડા ,ચિમિપાતાલ ","સરકાઈ માધ્યમિક અને ઉચ્ચતર માધ્યમિક શાળા ,ઉમરપાડા","GJ -18-ZT-2712"
"Surat","સેલંબા - ઉમરપાડા","સાગબારા ,અમીયાર ,ચોપડવાવ ,માંચફાટા ,કાકીપાણી ,કમોદવાવ ,દાભવણ,પીપરવટી જોડવાણ ,દેવ રૂપણ,મૌલીપાડા ,ડોગરીપાડા ,ખોટા રામપુરા ,રાજનીવાડ ,વડપાડા ,હલધરી ,બીલવાણ ,ચોખવાડા ","સરકાઈ માધ્યમિક અને ઉચ્ચતર માધ્યમિક શાળા ,ઉમરપાડા","GJ -18-ZT-2714"
"Surat","માંડવી - સેલંબા","ખાત્રાદેવી ,જામકુઈ ,લીમ્ધા ,બુણધા ,તારાપુર,માલ્ધાગામ ,ઉમરપાડા ,નવાગામ ,કદવાલી ,ઉમરગોટ ,પાંચઆંબા ,ખોડાબા ,ચૂલી,સેવાલાણ,સુતખડકા,ચવડા,ભરડા,ચિગદા ,શંભુનગર ,દેવીપાડા ,આંબાવાડી ,કાટીપાણી ,માંચફાટા ,ચોપડવાવ ,સાગબારા ","સરકારી ઉચ્ચત્તર માધ્યમિક શાળા ઉમરપાડા (વિ.પ્ર.)","GJ -18-ZT-3375"
"Surat","ઉમરપાડા - શંભુનગર","નવાગામ ,કદવાલી ,ઉમરગોટ ,પાંચઆંબા ,ખોડાબા ,ચૂલી,સેવાલાણ,સુતખડકા,ચવડા,ભરડા,ચિગદા","સરકાઈ માધ્યમિક અને ઉચ્ચતર માધ્યમિક શાળા ,ઉમરપાડા૨)વનરાજ હાઈસ્કુલ ઉમરપાડા ૩)ઉત્તર બુનિયાદી વિદ્યાલય,બિલવાણ ","GJ -18-ZT-2714"
"Surat","ઉમરદા - માંડવી","ખોટા રામપુરા ,રાજનીવાડ ,વડપાડા ,હલધરી ,બીલવાણ,નવાગામ ,ઉમરપાડા ,ખાત્રાદેવી ,જામકુઈ ,લીમ્ધા ,બુણધા ,તારાપુર,માલ્ધાગામ","સરકારી માધ્યમિક શાળા, ખોટા રામપુરા ","GJ -18-ZT-2714"
"Surat","સેલંબા - ઉમરપાડા","સાગબારા ,અમીયાર ,ચોપડવાવ ,માંચફાટા ,કાકીપાણી ,કમોદવાવ ,દાભવણ,પીપરવટી જોડવાણ ,દેવ રૂપણ,મૌલીપાડા ,ડોગરીપાડા ,ખોટા રામપુરા ,રાજનીવાડ ,વડપાડા ,હલધરી ,બીલવાણ ,ચોખવાડા ","સરકારી માધ્યમિક અને ઉચ્ચતર માધ્યમિક શાળા ચોખવાડા ","GJ -18-ZT-2714"
"Surat","ચકરા - માંડવી","ચિમિપાતાલ ,સુતખડાકા ,વડપાડા ,હલધરી,ચૌધરી ફળિયા ,ચોખાવાડા ,નવાગામ ,ઉમરગોટ ,કદવાલી ,વેનાજાલી ,ઉમરપાડા ,ખાત્રાદેવી ,જામકુઈ ,લીમ્ધા ,બુણધા ,તારાપુર,માલ્ધાગામ","સરકારી માધ્યમિક અને ઉચ્ચતર માધ્યમિક શાળા ચોખવાડા ","GJ -18-ZT-3375"
