District,Route Name,Beneficiary Villages,School Name,Bus Number
"Chhotaudepur","chhotaudepur 
rendha night","singla/luni/panvad/karajwant/bhumaswada/roadha/
rumadia/aamsota/samalwant/gozariya","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(19) GJ-18-ZT-2610"
"Chhotaudepur","Chhota udepur-Ghoghadev"," vanar/dadigam/koli/atroli/ghoghadev/akalbara/malaja/oad/alshi pur/jamli","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(8) GJ-18-ZT-2780"
"Chhotaudepur","Chhotaudepur
ukhalvant","vanar/zer/drigam/chamduvat/atroli/koli/ukhalvat","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(7) GJ-18-ZT-2823"
"Chhotaudepur","Chhotaudepur
pavi-harvant","piplej/nalej/olyamba/padharwant/chacher/raysingpura/dharmej/maldi/vardi/harwant/amroli/aniyadri/ratanpur/jetpur/pavi","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(1) GJ-18-ZT-2537"
"Chhotaudepur","Chhota udepur
kothara","chilarwant/khajuriya/odd/zoz/fangiya/pachiyasal/zamran/kakadkund/singalaja/mithibor/dhorkuwa/gadola/mad/kothara","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(6) GJ-18-ZT-2581"
"Chhotaudepur","Chhotaudepur
Goyavant","singla/panvad/karjvat/dungarvat/kavat/aathadungri/vagach/bhakha/nasvadi/tankhla/katkuva","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(3) GJ-18-ZT-2842"
"Chhotaudepur","chhota udaypur 
ferkuva khatiyavant","surkheda/dhamodi/ambala/devhat/rangpur/jodavat/ferkuva/kavat/hamirpura/chavriya/asar/panvad","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(12) GJ-18-ZT-2758"
"Chhotaudepur","Chhotaudepur
Nasvadi","piplej/singla/panvad/karajwant/dungarwat/kawant/motisadhli/dewat/aathadungri/wagach/bhakha/boriyad/naswadi/asar/chavariya/rangpur","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(2) GJ-18-ZT-2767"
"Chhotaudepur","chhota udaypur 
chalamdi nasvali","piplej/singla/panvad/karajwant/dungarwat/kawant/motisadhli/dewat/aathadungri/wagach/bhakha/boriyad/nasvadi/chalamali","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(14) GJ-18-ZT-2743"
"Chhotaudepur","chhota udaypur 
muvada night","ghelwant/dhandoda/tejgadh/pavijetpur/umarwa/kadwa/bhikhapura/muvadal","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(17) GJ-18-ZT-2571"
"Chhotaudepur","chhota udaypur 
kalipani night","singla/panvad/dungam/kawant/motichikhli/bunjar/raysingpura/mogra/kadipani/hamirpura","SMT MANIBEN PATEL GIRLS HIGHSCHOOL","(13) GJ-18-ZT-2883"
"Chhotaudepur","chhota udaypur 
muvada night","ghelwant/dhandoda/tejgadh/pavijetpur/umarwa/kadwa/bhikhapura/muvadal","S.F.HIGH SCHOOL CHHOTAUDEPUR","(17) GJ-18-ZT-2571"
"Chhotaudepur","Chhotaudepur
Nasvadi","piplej/singla/panvad/karajwant/dungarwat/kawant/motisadhli/dewat/aathadungri/wagach/bhakha/boriyad/naswadi/asar/chavariya/rangpur","S.F.HIGH SCHOOL CHHOTAUDEPUR","(2) GJ-18-ZT-2767"
"Chhotaudepur","Chhotaudepur
Halol-Gunata","runwant/surkheda/dhamodi/ammbala/devhat/levhat/katarwant/koliyathor/gunnata/kol/balawant/bandala","S.F.HIGH SCHOOL CHHOTAUDEPUR","(5) GJ-18-ZT-2946"
"Chhotaudepur","Chhotaudepur
ukhalvant","vanar/zer/drigam/chamduvat/atroli/koli/ukhalvat","S.F.HIGH SCHOOL CHHOTAUDEPUR","(7) GJ-18-ZT-2823"
"Chhotaudepur","chhota udaypur 
kalarani ferkuva","runwad/surkheda/devhat/motisadli/rangpur/ferkuva/gelvat dhandhoda/tejgad/jetpur/kalarani","S.F.HIGH SCHOOL CHHOTAUDEPUR","(11) GJ-18-ZT-2932"
"Chhotaudepur","chhota udaypur 
ferkuva","runwad/dhamodi/devhat/levhat/chisadia/motisadli/nanisadli/rangpur/khadakwada/ferkuva","S.F.HIGH SCHOOL CHHOTAUDEPUR","(18) GJ-18-ZT-2900"
"Chhotaudepur","Chhota udepur
alsipur-Puniyavant","chilarvat/malaja/akalbara/odd/zoz/alsipur/ambala/levhat/katarvat/gunata/bandia/motarampura/kollyathor","S.F.HIGH SCHOOL CHHOTAUDEPUR","(9) GJ-18-ZT-2642"
"Chhotaudepur","chhota udaypur 
ferkuva rampura","runwad/surkheda/devhat/motisadli/rangpur/khadwada/bhordali/rampura/hamirpura/gozariya/khatiyant/asar/chavariya/panvad(chho,pur)","S.F.HIGH SCHOOL CHHOTAUDEPUR","(15) GJ-18-ZT-2677"
"Chhotaudepur","Chhotaudepur
Goyavant","singla/panvad/karjvat/dungarvat/kavat/aathadungri/vagach/bhakha/nasvadi/tankhla/katkuva","S.F.HIGH SCHOOL CHHOTAUDEPUR","(3) GJ-18-ZT-2842"
"Chhotaudepur","chhota udaypur 
chalamdi nasvali","piplej/singla/panvad/karajwant/dungarwat/kawant/motisadhli/dewat/aathadungri/wagach/bhakha/boriyad/nasvadi/chalamali","S.F.HIGH SCHOOL CHHOTAUDEPUR","(14) GJ-18-ZT-2743"
"Chhotaudepur","Chhota udepur-Ghoghadev"," vanar/dadigam/koli/atroli/ghoghadev/akalbara/malaja/oad/alshi pur/jamli","S.F.HIGH SCHOOL CHHOTAUDEPUR","(8) GJ-18-ZT-2780"
"Chhotaudepur","Chhota udepur
kothara","chilarwant/khajuriya/odd/zoz/fangiya/pachiyasal/zamran/kakadkund/singalaja/mithibor/dhorkuwa/gadola/mad/kothara","S.F.HIGH SCHOOL CHHOTAUDEPUR","(6) GJ-18-ZT-2581"
"Chhotaudepur","chhota udaypur 
ferkuva khatiyavant","surkheda/dhamodi/ambala/devhat/rangpur/jodavat/ferkuva/kavat/hamirpura/chavriya/asar/panvad","S.F.HIGH SCHOOL CHHOTAUDEPUR","(12) GJ-18-ZT-2758"
"Chhotaudepur","Chhotaudepur
pavi-harvant","piplej/nalej/olyamba/padharwant/chacher/raysingpura/dharmej/maldi/vardi/harwant/amroli/aniyadri/ratanpur/jetpur/pavi","S.F.HIGH SCHOOL CHHOTAUDEPUR","(1) GJ-18-ZT-2537"
"Chhotaudepur","Chhota udepur
Ferkuva-Puniyavant","runwad/surkheda/devhat/motisadli/rangpur/khadwada/bhordali/rampura","S.F.HIGH SCHOOL CHHOTAUDEPUR","(10) GJ-18-ZT-2819"
